,username,location,text,hashtags,tweet_date
0,Peter Leighton-Jones Ⓥ 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌱,"Leeds, England","@_Spinflight_ Global warming is just one symptom of climate change, where the latter causes extreme weather events. The UK will be significantly colder if the gulf stream halts...due to climate change feedback loops.",[],2021-11-26 23:45:50
1,ZNet,,"A root reality of injustice experience in the way global warming points to data that shows that the 1% of the world population is currently subject to barely livable climate conditions @rfalk13
https://t.co/5Zr4Z9sAbM",[],2021-11-26 23:44:25
2,Playing For Change,The World,"Join us December 5th on #PFCPlantATreeDay and Play For The Environment!
We invite our community to make a real difference. Plant a tree and take action to combat climate change and global warming. 
Share your best pic #PlantingATree and Play For Change! #CorningGorillaGlass https://t.co/cA9ow3eHFC","[{'text': 'PFCPlantATreeDay', 'indices': [24, 41]}, {'text': 'PlantingATree', 'indices': [218, 232]}, {'text': 'CorningGorillaGlass', 'indices': [254, 274]}]",2021-11-26 23:30:00
3,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, North Carolina, USA","#climate #change The 11TH HOUR FOR THE EARTH #climatechange #global #warming #GlobalWarming #nature #preserve_nature
https://t.co/mrNoQhJGct https://t.co/hvhaeHR7Wy","[{'text': 'climate', 'indices': [0, 8]}, {'text': 'change', 'indices': [9, 16]}, {'text': 'climatechange', 'indices': [45, 59]}, {'text': 'global', 'indices': [60, 67]}, {'text': 'warming', 'indices': [68, 76]}, {'text': 'GlobalWarming', 'indices': [77, 91]}, {'text': 'nature', 'indices': [92, 99]}, {'text': 'preserve_nature', 'indices': [100, 116]}]",2021-11-26 23:12:36
4,@drtimball #climate,Columnist-Landowners Magazine,"Canada is the “worst performer” of G7 nations on climate change: environment commissioner 
Dr Tim Ball - Historical Climatologist
Book: ‘The Deliberate Corruption of Climate Science’
Book: ‘Human Caused Global Warming, the Biggest Deception in History’
https://t.co/Y2cNzxOFLX",[],2021-11-26 23:12:11
5,Justiss Goode,"Los Angeles, Ca.","Global Warming is Causing Climate Change and Maybe Even a Rainy Day | by Justiss Goode | Jul, 2021 | Medium - via @pensignal  Read this thought provoking story https://t.co/FPLls5ejOE and don't forget to share your thoughts.",[],2021-11-26 23:09:34
6,beyondWISDOM,,"@AaronWh44790523 @PennyMcLain @JoeConchaTV What we know is a drop
What we don't know is an ocean

This is the drop which we know
https://t.co/3Y5z1fhYmD

This is from the ocean which you don't know.
https://t.co/kI3Dh4b3AI
Method ends climate change &amp; ends global warming",[],2021-11-26 23:01:42
7,⋆｡♪˚⋆｡♪,Sarawak (SEA),climate change/global warming cause melting of ices then unleash old/new virus that trap in them...,[],2021-11-26 22:56:25
8,Ila,,"Just heard on the news that we are going to have the coldest winter in years &amp; a prediction of intense cold &amp; snow. So where is the global warming &amp; by climate change, do they mean we are going back to 70s when we used to have done every winter?",[],2021-11-26 22:54:30
9,Peter Clack,"New South Wales, Australia","The case for climate change is unpicked in this amazing detailed blog. It is the full monty, from drowning cities, sinking islands to burning deserts. Global warming has a long detailed history of planning and scheming, not from any interest in climate. 
https://t.co/wvIZCHJbvT",[],2021-11-26 22:51:15
